"anime_title","anime_premiere","anime_release","anime_nextair","anime_badge"
"The Kawai Complex Guide to Manors and Hostel Behavior","4/5/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Kenda Master Ken TV Series","3/31/2022 12:00:00 AM","3/24/2022 1:00:00 PM","4/21/2022 11:00:00 PM","Tomorrow"
"Kill Me Baby","1/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Killing Bites","1/12/2018 12:00:00 AM","1/15/2021 5:00:00 PM","",NA
"KimiKiss","10/6/2007 12:00:00 AM","3/14/2018 10:00:00 PM","",NA
"KINMOZA!","7/20/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Kino's Journey","4/8/2003 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Kissdum R: Engage Planet","4/3/2007 12:00:00 AM","3/25/2018 6:00:00 AM","",NA
"Koihime Muso","7/8/2008 12:00:00 AM","3/9/2018 2:00:00 PM","",NA
"Kokkoku","1/8/2018 12:00:00 AM","4/8/2021 1:00:00 PM","","Dubbed"
"Kokoro Connect","7/7/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"K-ON! Season 1","4/2/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"K-ON! Season 2","4/7/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Kurenai","4/3/2008 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"La Storia della Arcana Famiglia","7/1/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Land of the Lustrous","10/7/2017 12:00:00 AM","10/5/2017 10:00:00 PM","","Dubbed"
"Legend of the Galactic Heroes","12/21/1988 12:00:00 AM","3/15/2017 5:00:00 AM","","Exclusive"
"Legend of the Galactic Heroes Gaiden","2/9/1998 12:00:00 AM","2/1/2018 5:00:00 AM","","Exclusive"
"Listen to Me, Girls. I am Your Father!","1/10/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Little Busters!","10/6/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Little Busters! Refrain","10/6/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Living for the Day After Tomorrow","10/5/2006 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Lone Wolf and Cub","4/1/1973 12:00:00 AM","11/22/2017 6:00:00 PM","","Exclusive"
"Long Riders!","10/8/2016 12:00:00 AM","10/27/2016 5:00:00 AM","",NA
"LOVE * LOVE?","5/3/2004 12:00:00 AM","3/25/2018 5:00:00 AM","",NA
"LOVE and LIES","7/3/2017 12:00:00 AM","6/30/2017 5:00:00 PM","",NA
"Love Stage!!","7/9/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Love, Chunibyo & Other Delusions!","10/3/2012 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Love, Chunibyo & Other Delusions! -Heart Throb-","1/8/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Love, Election & Chocolate","7/5/2012 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Lunar Legend Tsukihime","10/9/2003 12:00:00 AM","1/1/2017 12:00:00 AM","","Dubbed"
"LUPIN THE 3rd - The Woman Called Fujiko Mine","4/4/2012 12:00:00 AM","3/1/2022 2:00:00 PM","","Dubbed"
"Lupin the 3rd - Part 1","10/24/1971 12:00:00 AM","12/16/2021 2:00:00 PM","","Dubbed"
"LUPIN THE 3rd, PART 4","9/6/2015 12:00:00 AM","3/8/2022 2:00:00 PM","4/26/2022 5:00:00 PM","E25 In 6 Days"
"Lupin the 3rd: Part 5","4/3/2018 12:00:00 AM","2/13/2020 5:00:00 PM","","Dubbed"
"Lupin the 3rd: Part 6","10/9/2021 12:00:00 AM","10/6/2021 1:00:00 PM","","Dubbed"
"MADE IN ABYSS","7/7/2017 12:00:00 AM","6/30/2017 5:00:00 PM","","Dubbed"
"Magia Record: Puella Magi Madoka Magica Side Story","1/4/2020 12:00:00 AM","1/9/2020 12:00:00 AM","",NA
"Magia Record: Puella Magi Madoka Magica Side Story FINAL SEASON -Dawn of a Shallow Dream-","4/3/2022 12:00:00 AM","4/12/2022 1:00:00 PM","","New Release"
"Magia Record: Puella Magi Madoka Magica Side Story Season 2 -The Eve of Awakening-","7/31/2021 12:00:00 AM","7/20/2021 1:00:00 PM","","New Release"
"Magic of Stella","10/3/2016 12:00:00 AM","10/27/2016 5:00:00 AM","",NA
"Magical Girl Site","4/7/2018 12:00:00 AM","8/12/2021 1:00:00 PM","",NA
"Magical Shopping Arcade Abenobashi","4/4/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Magical Warfare","1/9/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
